graph,scenario,gamma_u,q,estimator,gate,bias,sd,rmse,reps
synthetic,S2,0.0,0.4,IPW-alloc,0.01977848981560919,-27.93518091922959,890.4415145593603,890.8796019573898,1000
synthetic,S2,0.0,0.5,EARL,0.01977848981560919,0.10916396721774642,3.149824411763205,3.151715500592992,1000
synthetic,S2,0.0,0.5,EARL-centred,0.01977848981560919,0.06955776939877638,5.490113995957306,5.490554614234343,1000
synthetic,S2,0.0,0.5,ERL-drop,0.01977848981560919,0.044692738701068616,1.5749122058816025,1.5755462218314817,1000
synthetic,S2,0.0,0.5,IPW-assign,0.01977848981560919,0.04264764418920508,1.6232120693493843,1.6237722265257526,1000
synthetic,S2,0.0,0.5,IPW-alloc,0.01977848981560919,-0.454299291730618,12.262307788985437,12.27072044169697,1000
synthetic,S2,0.0,0.6,EARL,0.01977848981560919,-0.23169798936167196,2.8963748873489643,2.9056275477665694,1000
synthetic,S2,0.0,0.6,EARL-centred,0.01977848981560919,-0.16152245975968968,5.864568263271457,5.8667921745684515,1000
synthetic,S2,0.0,0.6,ERL-drop,0.01977848981560919,-0.14693018954324685,1.7378249324093782,1.7440252223815098,1000
synthetic,S2,0.0,0.6,IPW-assign,0.01977848981560919,-0.18434412691723845,1.8057524735374824,1.8151376677309121,1000
synthetic,S2,0.0,0.6,IPW-alloc,0.01977848981560919,-0.774021830075917,16.61172143494385,16.629744400489354,1000
synthetic,S2,0.0,0.7,EARL,0.01977848981560919,-0.22347647801553866,2.5506819306843953,2.5604530942288526,1000
synthetic,S2,0.0,0.7,EARL-centred,0.01977848981560919,-0.27521043718759414,5.727230601818691,5.7338391284675465,1000
synthetic,S2,0.0,0.7,ERL-drop,0.01977848981560919,-0.16236708155555984,1.785477351479077,1.7928447902196132,1000
synthetic,S2,0.0,0.7,IPW-assign,0.01977848981560919,-0.12999927075937304,1.8859575541271545,1.8904326770258832,1000
synthetic,S2,0.0,0.7,IPW-alloc,0.01977848981560919,-0.2324008728001162,7.494659424304779,7.498261802044437,1000
synthetic,S2,0.0,0.8,EARL,0.01977848981560919,0.12509119368922,2.5221102740646795,2.525210494450157,1000
synthetic,S2,0.0,0.8,EARL-centred,0.01977848981560919,-0.05816932982071682,6.600421366828842,6.600677684194443,1000
synthetic,S2,0.0,0.8,ERL-drop,0.01977848981560919,0.0961172569882542,2.0176882192517436,2.019976306098222,1000
